epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,201228,0.30552,0.52832,1.01653,0.87863,0.89593,0.94576,0.88518,0.32461,0.53461,0.82884,0.000458624,0.000458624,0.000458624
61,203552,0.2886,0.51742,0.99875,0.86067,0.92308,0.94937,0.89704,0.32106,0.50892,0.82404,0.000440046,0.000440046,0.000440046
62,205873,0.28991,0.51665,1.01083,0.89519,0.8914,0.95568,0.88781,0.34893,0.47211,0.84357,0.000421656,0.000421656,0.000421656
63,208192,0.28476,0.49932,1.00375,0.86085,0.92376,0.9586,0.89055,0.35054,0.46375,0.85181,0.000403473,0.000403473,0.000403473
64,210604,0.28903,0.54413,1.01544,0.87309,0.90279,0.9425,0.87859,0.34804,0.48911,0.85085,0.000385515,0.000385515,0.000385515
65,213008,0.28108,0.52886,1.00938,0.91105,0.85973,0.94634,0.88612,0.32612,0.46055,0.8383,0.000367799,0.000367799,0.000367799
66,215380,0.2794,0.48778,1.00687,0.87222,0.89571,0.94644,0.87784,0.34466,0.50478,0.86425,0.000350343,0.000350343,0.000350343
67,217775,0.27975,0.50589,1.00226,0.88904,0.9095,0.95682,0.89691,0.32245,0.47207,0.83899,0.000333165,0.000333165,0.000333165
68,220118,0.2691,0.49508,1.00034,0.87008,0.90912,0.95138,0.89304,0.32998,0.49359,0.83712,0.000316281,0.000316281,0.000316281
69,222530,0.27035,0.50122,1.00267,0.86929,0.93665,0.9552,0.89319,0.34252,0.45563,0.84129,0.000299707,0.000299707,0.000299707
70,225476,0.28058,0.50054,1.00307,0.86685,0.88373,0.95137,0.88876,0.33064,0.46941,0.82729,0.000283461,0.000283461,0.000283461
71,262551,0.27446,0.59666,1.00786,0.85632,0.92308,0.95388,0.89801,0.33169,0.46471,0.83331,0.000267558,0.000267558,0.000267558
72,273213,0.27148,0.46684,1.00708,0.89808,0.89593,0.95652,0.90062,0.32941,0.45437,0.8263,0.000252014,0.000252014,0.000252014
