retailer,source_scope,brand,product_name,category,price,sale_price,original_price,rating,review_count,barcode,product_id,sku_id,product_url,image_url,source_url,captured_utc_date
Sephora US,PDF brand list,Laneige,Cream Skin Toner & Moisturizer,toner,,,,,,,,,https://www.sephora.com/search?keyword=Laneige%20Cream%20Skin%20Toner%20&%20Moisturizer,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Biodance,Bio-Collagen Real Deep Mask,moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=Biodance%20Bio-Collagen%20Real%20Deep%20Mask,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
Sephora US,PDF brand list,Biodance,Hydro Cera-nol Real Deep Mask,moisturizer,,,,,,,,,https://www.sephora.com/search?keyword=Biodance%20Hydro%20Cera-nol%20Real%20Deep%20Mask,,/Users/ahmedhassan/Downloads/sephoralist.pdf,2026-06-14
StyleKorean,PDF brand list,Anua,Heartleaf 77% Soothing Toner,toner,,,,,,,,,https://www.stylekorean.com/search/Anua%20Heartleaf%2077%%20Soothing%20Toner,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Anua,Heartleaf Pore Control Cleansing Oil,cleanser,,,,,,,,,https://www.stylekorean.com/search/Anua%20Heartleaf%20Pore%20Control%20Cleansing%20Oil,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Anua,Azelaic Acid 10 Hyaluron Redness Serum,treatment,,,,,,,,,https://www.stylekorean.com/search/Anua%20Azelaic%20Acid%2010%20Hyaluron%20Redness%20Serum,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Anua,Niacinamide 10% + TXA 4% Dark Spot Serum,treatment,,,,,,,,,https://www.stylekorean.com/search/Anua%20Niacinamide%2010%%20+%20TXA%204%%20Dark%20Spot%20Serum,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,COSRX,Advanced Snail 96 Mucin Power Essence,skincare,,,,,,,,,https://www.stylekorean.com/search/COSRX%20Advanced%20Snail%2096%20Mucin%20Power%20Essence,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,COSRX,Advanced Snail 92 All In One Cream,moisturizer,,,,,,,,,https://www.stylekorean.com/search/COSRX%20Advanced%20Snail%2092%20All%20In%20One%20Cream,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,COSRX,Low pH Good Morning Gel Cleanser,cleanser,,,,,,,,,https://www.stylekorean.com/search/COSRX%20Low%20pH%20Good%20Morning%20Gel%20Cleanser,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,COSRX,Acne Pimple Master Patch,skincare,,,,,,,,,https://www.stylekorean.com/search/COSRX%20Acne%20Pimple%20Master%20Patch,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,SKIN1004,Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50+,treatment,,,,,,,,,https://www.stylekorean.com/search/SKIN1004%20Madagascar%20Centella%20Hyalu-Cica%20Water-Fit%20Sun%20Serum%20SPF50+,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,SKIN1004,Madagascar Centella Ampoule,treatment,,,,,,,,,https://www.stylekorean.com/search/SKIN1004%20Madagascar%20Centella%20Ampoule,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,SKIN1004,Centella Light Cleansing Oil,cleanser,,,,,,,,,https://www.stylekorean.com/search/SKIN1004%20Centella%20Light%20Cleansing%20Oil,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,SKIN1004,Madagascar Centella Retinol 0.2 Boosting Shot,treatment,,,,,,,,,https://www.stylekorean.com/search/SKIN1004%20Madagascar%20Centella%20Retinol%200.2%20Boosting%20Shot,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Dr.Althea,345 Relief Cream (Viral for barrier/acne care),moisturizer,,,,,,,,,https://www.stylekorean.com/search/Dr.Althea%20345%20Relief%20Cream%20(Viral%20for%20barrier/acne%20care),,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Dr.Althea,345 Relief Serum,treatment,,,,,,,,,https://www.stylekorean.com/search/Dr.Althea%20345%20Relief%20Serum,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Dr.Althea,Retinol Flat Iron Eye Roller,treatment,,,,,,,,,https://www.stylekorean.com/search/Dr.Althea%20Retinol%20Flat%20Iron%20Eye%20Roller,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Numbuzin,No.3 Skin Softening Serum,treatment,,,,,,,,,https://www.stylekorean.com/search/Numbuzin%20No.3%20Skin%20Softening%20Serum,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
StyleKorean,PDF brand list,Numbuzin,No.3 Radiance Glowing Jumbo Essence Toner,toner,,,,,,,,,https://www.stylekorean.com/search/Numbuzin%20No.3%20Radiance%20Glowing%20Jumbo%20Essence%20Toner,,/Users/ahmedhassan/Downloads/korean.pdf,2026-06-14
