title,asin,price,rating,reviews,link,thumbnail
Psorclear-Psoriasis & Eczema Relief | A Proven Effective and All-Natural Product for Psoriasis Eczema & Rosacea Relief That Works - Rated One of The Best (120 Count Bottle),B07DX9C5RX,$20.95,3.8,1200,https://www.amazon.com/Psorclear-100-Natural-Treatment-Psoriasis-Eczema/dp/B07DX9C5RX/,https://m.media-amazon.com/images/I/71tQZvjMaTL._AC_UL320_.jpg
"Cortizone-10 Maximum Strength Intensive Healing Itch Relief Cream, 1% Hydrocortisone, Fast-Acting, Anti-Itch Cream for Bug Bites, Rash, Eczema, Psoriasis, Poison Ivy, Oak, Sumac & More, 2 oz",B0CMVYX6VN,$8.97,4.7,6500,https://www.amazon.com/Cortizone-10-Intensive-Anti-Itch-Hydrocortisone/dp/B0CMVYX6VN/,https://m.media-amazon.com/images/I/71S7AyVELjL._AC_UL320_.jpg
"MagniLife Psoriasis Care+, Natural Itch and Pain Relief, Moisturization Helps to Reduce Redness, Scaling and Flaking on Body & Scalp - Unscented, Non-Toxic - 2oz",B07B4L4DPY,$12.79,4.2,274,https://www.amazon.com/MagniLife-Psoriasis-Care-Gel-Moisturizing/dp/B07B4L4DPY/,https://m.media-amazon.com/images/I/71lVKckJxkL._AC_UL320_.jpg
"MG217 Psoriasis Shampoo with Coal Tar, Therapeutic Scalp Treatment, Controls Itching, Scaling, Flaking, Scale Buildup, Psoriasis Scalp Treatment, .5% Coal Tar Shampoo and Conditioner, 8floz",B0F4L3QRSR,$9.99,4.2,10200,https://www.amazon.com/MG217-Psoriasis-Therapeutic-Treatment-Conditioner/dp/B0F4L3QRSR/,https://m.media-amazon.com/images/I/61Unjvh9HEL._AC_UL320_.jpg
"Clinically Tested DermaCalm SOS Therapy - Eczema Psoriasis Dermatitis Prone, Dry Skin - Urea 8%, Probiotics w/Best Natural Ingredients - Itchy, Severely Dry, Scaly Skin. Adults & Kids, Eczema Cream",B078XHH67R,$24.98,4.3,5900,https://www.amazon.com/Clinically-Tested-Treatment-Dermatitis-Psoriasis/dp/B078XHH67R/,https://m.media-amazon.com/images/I/71Cbz9ztFtL._AC_UL320_.jpg
"Kenkoderm Psoriasis Conditioner for Sensitive Hair & Skin with 3 Percent Salicylic Acid, Anti-Dandruff Deep Moisturizer for Itchy or Dry Scalp Relief, Color & Fragrance Free, 4 8-Ounce Tubes",B08K8C2K4W,$59.99,4.3,619,https://www.amazon.com/Kenkoderm-Conditioner-Sensitive-Hair-Skin/dp/B08K8C2K4W/,https://m.media-amazon.com/images/I/51AdUI+moLL._AC_UL320_.jpg
"Kenkoderm Psoriasis Dead Sea Mud Soap with Argan Oil & Shea Butter, Natural Exfoliating Body & Face Cleanser for Sensitive Skin, Fragrance & Color-Free, 4.25 Ounce, 4 Bars",B07VQQTXRZ,$23.99,4.3,6100,https://www.amazon.com/Kenkoderm-Psoriasis-Dead-Argan-Butter/dp/B07VQQTXRZ/,https://m.media-amazon.com/images/I/51O50IztRzL._AC_UL320_.jpg
"PUR360 Tamanu Oil - Best Treatment for Psoriasis, Eczema, Acne Scar, Rosacea - Relief for Dry, Scaly Skin, Scalp and More - Cold Pressed – Proven 100% Pure",B00ZPO05TW,$19.97,4.2,6300,https://www.amazon.com/Pur360-Tamanu-Oil-Treatment-Psoriasis/dp/B00ZPO05TW/,https://m.media-amazon.com/images/I/61s4OM2htBL._AC_UL320_.jpg
The Holistic Psoriasis Management and Nutrition Guide: Natural Solutions to Treat and Relieve Your Symptoms,0778807304,$13.78,5.0,8,https://www.amazon.com/Holistic-Psoriasis-Management-Nutrition-Guide/dp/0778807304/,https://m.media-amazon.com/images/I/718kT9-N8AL._AC_UL320_.jpg
"Dr. Blaine’s REVITADERM Psoriasis Formula - Topical Cream with Coal Tar, Tea Tree Oil and Lavender Oil for Itching, Flaking, Dry, Cracked Skin Relief - 4 fl. oz. - Includes Travel Size Bottle (2-Pack)",B0BYZYC5XB,,4.3,1500,https://www.amazon.com/Dr-Blaines-REVITADERM-Psoriasis-Formula/dp/B0BYZYC5XB/,https://m.media-amazon.com/images/I/71BoAZfQi0L._AC_UL320_.jpg
Dr. Blaine's RevitaDERM Psoriasis Treatment 4 oz (Pack of 3),B01IAIQ79Q,$45.59,4.5,72,https://www.amazon.com/Dr-Blaines-RevitaDERM-Psoriasis-Treatment/dp/B01IAIQ79Q/,https://m.media-amazon.com/images/I/81eZfl-RUbL._AC_UL320_.jpg
"Cortizone-10 Maximum Strength Soothing Aloe Itch Relief Cream, 1% Hydrocortisone, Fast-Acting, Anti-Itch Cream for Bug Bites, Rash, Eczema, Psoriasis, Poison Ivy, Oak, Sumac, 2 oz (Pack of 4)",B0DKRBQZ4W,$29.06,4.7,9700,https://www.amazon.com/Cortizone-10-Strength-Anti-Itch-Hydrocortisone/dp/B0DKRBQZ4W/,https://m.media-amazon.com/images/I/71ZftfdXTvL._AC_UL320_.jpg
"DERMA E Scalp Relief Treatment, Soothes Itch and Promotes Scalp Health",B09BPBJNZL,,4.5,753,https://www.amazon.com/Derma-Scalp-Relief-Treatment-Unisex/dp/B09BPBJNZL/,https://m.media-amazon.com/images/I/616vWtrK2nL._AC_UL320_.jpg
"Strength & Spices Psoriaskin Supplement, Immune System Booster with 31 Powerful Ingredients and Amino Acids, Soothes Red, Flaky Skin, 1000 mg, 60 Vegan Capsules",B0CNNQ2WX3,$26.99,3.9,77,https://www.amazon.com/Strength-Psoriaskin-Supplement-Ingredients-Vegan/dp/B0CNNQ2WX3/,https://m.media-amazon.com/images/I/810HUVZXs0L._AC_UL320_.jpg
"Dermasolve Medicated Psoriasis Body Wash - 2-Pack (8.0 oz each) - Proven to Provide Relief from Psoriasis, Eczema & Seborrheic Dermatitis, Doctor Recommended for Dry, Itchy, Red, Flaky, Scaly Skin",B075PWGX73,$23.99,4.2,923,https://www.amazon.com/Dermasolve-Psoriasis-Body-Wash-Recommended/dp/B075PWGX73/,https://m.media-amazon.com/images/I/711yS7LmShS._AC_UL320_.jpg
"Dermasolve 4 oz Psoriasis, Seborrheic Dermatitis, & Dandruff Scalp Oil - Dermatologist Approved - Flaky Scalp Relief, Clinically Tested, Long-Lasting Itch-Free, High-Performance Formula",B003ZUJXY6,$19.99,4.0,1200,https://www.amazon.com/Dermasolve-Seborrheic-Dermatologist-Long-Lasting-High-Performance/dp/B003ZUJXY6/,https://m.media-amazon.com/images/I/61rf0IPyq3L._AC_UL320_.jpg
"Codex Labs ANTÜ Skin Barrier Repair Supplement – Oral Sachets for Eczema, Rosacea & Psoriasis – Clinically Proven, Vegan, Dermatologist-Tested – Strawberry Lemonade Flavor – 30-Day Supply",B0FDYJMNM2,$44.99,3.8,18,https://www.amazon.com/Codex-Labs-Barrier-Repair-Supplement/dp/B0FDYJMNM2/,https://m.media-amazon.com/images/I/51j4NL-8ENL._AC_UL320_.jpg
"Strength & Spices Psoriaskin Supplement, Immune System Booster with 31 Powerful Ingredients and Amino Acids, Soothes Red, Flaky Skin, 1000 mg, 60 Vegan Capsules",B0CNNQ2WX3,$26.99,3.9,77,https://www.amazon.com/Strength-Psoriaskin-Supplement-Ingredients-Vegan/dp/B0CNNQ2WX3/,https://m.media-amazon.com/images/I/810HUVZXs0L._AC_UL320_.jpg
"Codex Labs ANTÜ Skin Barrier Repair Supplement – Oral Sachets for Eczema, Rosacea & Psoriasis – Clinically Proven, Vegan, Dermatologist-Tested – Strawberry Lemonade Flavor – 30-Day Supply",B0FDYJMNM2,$44.99,3.8,18,https://www.amazon.com/Codex-Labs-Barrier-Repair-Supplement/dp/B0FDYJMNM2/,https://m.media-amazon.com/images/I/51j4NL-8ENL._AC_UL320_.jpg
"MG217 Multi Symptom Relief 2% Coal Tar Medicated Psoriasis Ointment oz Jar, 4 Oz",B07RL7BBJ7,$13.73,4.3,6800,https://www.amazon.com/MG217-Psoriasis-Symptom-Medicated-Ointment/dp/B07RL7BBJ7/,https://m.media-amazon.com/images/I/71-oKYi5r0L._AC_UL320_.jpg
"Dermasolve 4 oz Psoriasis, Seborrheic Dermatitis, & Dandruff Scalp Oil - Dermatologist Approved - Flaky Scalp Relief, Clinically Tested, Long-Lasting Itch-Free, High-Performance Formula",B003ZUJXY6,$19.99,4.0,1200,https://www.amazon.com/Dermasolve-Seborrheic-Dermatologist-Long-Lasting-High-Performance/dp/B003ZUJXY6/,https://m.media-amazon.com/images/I/61rf0IPyq3L._AC_UL320_.jpg
"Cortizone-10 Maximum Strength Soothing Aloe Itch Relief Cream, 1% Hydrocortisone, Fast-Acting, Anti-Itch Cream for Bug Bites, Rash, Eczema, Psoriasis, Poison Ivy, Oak, Sumac, 2 oz (Pack of 4)",B0DKRBQZ4W,$29.06,4.7,9700,https://www.amazon.com/Cortizone-10-Strength-Anti-Itch-Hydrocortisone/dp/B0DKRBQZ4W/,https://m.media-amazon.com/images/I/71ZftfdXTvL._AC_UL320_.jpg
"Roycederm Seborrheic Dermatitis Cream, Scalp Treatment for Psoriasis, Folliculitis, Dry Scalp, Dandruff, Anti-Itch Cream for Soothing Relief",B09Y279LYK,$21.21,4.2,1100,https://www.amazon.com/Seborrheic-Dermatitis-Psoriasis-Treatment-Folliculitis/dp/B09Y279LYK/,https://m.media-amazon.com/images/I/71NI+5hJfuL._AC_UL320_.jpg
"Dr. Blaine’s REVITADERM Psoriasis Formula - Topical Cream with Coal Tar, Tea Tree Oil and Lavender Oil for Itching, Flaking, Dry, Cracked Skin Relief - 4 fl. oz. - Includes Travel Size Bottle (2-Pack)",B0BYZYC5XB,,4.3,1500,https://www.amazon.com/Dr-Blaines-REVITADERM-Psoriasis-Formula/dp/B0BYZYC5XB/,https://m.media-amazon.com/images/I/71BoAZfQi0L._AC_UL320_.jpg
"Dermasolve Medicated Psoriasis Body Wash - 2-Pack (8.0 oz each) - Proven to Provide Relief from Psoriasis, Eczema & Seborrheic Dermatitis, Doctor Recommended for Dry, Itchy, Red, Flaky, Scaly Skin",B075PWGX73,$23.99,4.2,923,https://www.amazon.com/Dermasolve-Psoriasis-Body-Wash-Recommended/dp/B075PWGX73/,https://m.media-amazon.com/images/I/711yS7LmShS._AC_UL320_.jpg
"Jericho Dead Sea Sulfur Soap with Olive Oil – Helps with Acne, Psoriasis, Eczema & Blackheads – For Oily to Normal Skin – Vegan Face & Body Bar for Men & Women, 4.4 Oz / 125 g (Pack of 6)",B0F7XZ88ZN,$17.95,4.6,551,https://www.amazon.com/Jericho-Dead-Sulfur-Soap-Olive/dp/B0F7XZ88ZN/,https://m.media-amazon.com/images/I/61Mr4Nx9xIL._AC_UL320_.jpg
"Dr. Sheffields Psoriasis 2% Salicyclic Acid, Medicated Moisturizer (Pack of 2)",B00O829Q24,$9.32,4.5,80,https://www.amazon.com/Dr-Sheffields-Psoriasis-Salicyclic-Moisturizer/dp/B00O829Q24/,https://m.media-amazon.com/images/I/81WsdrMv7mL._AC_UL320_.jpg
"Ducray Kertyol P.S.O. Shampoo, Scalp Prone to Psoriasis, Micronized Sulfur, Salicylic Acid, Soothes Red, Irritated Scalp, 6.7 oz.",B00HMOT0TY,$32.95,4.6,236,https://www.amazon.com/Ducray-Psoriasis-Micronized-Salicylic-Irritated/dp/B00HMOT0TY/,https://m.media-amazon.com/images/I/61+XTGzTE2S._AC_UL320_.jpg
"Cortizone-10 Maximum Strength Intensive Healing Itch Relief Cream, 1% Hydrocortisone, Fast-Acting, Anti-Itch Cream for Bug Bites, Rash, Eczema, Psoriasis, Poison Ivy, Oak, Sumac & More, 2 oz",B0CMVYX6VN,$8.97,4.7,6500,https://www.amazon.com/Cortizone-10-Intensive-Anti-Itch-Hydrocortisone/dp/B0CMVYX6VN/,https://m.media-amazon.com/images/I/71S7AyVELjL._AC_UL320_.jpg
"Wild Naturals Eczema & Psoriasis Cream for Dry, Itchy Skin – Eczema Relief for Adults & Kids – Moisturizing Psoriasis Cream with Manuka Honey",B00HFDZ3UW,$18.95,4.3,7500,https://www.amazon.com/Eczema-Cream-Adults-Kids-Seborrheic/dp/B00HFDZ3UW/,https://m.media-amazon.com/images/I/61edAS3Ca+L._AC_UL320_.jpg
"Dermeleve Scalp Serum for Neuropathic Itch, Sebborheic Dermatitis & Scalp Psoriasis | Dry Itchy Leave In Scalp Treatment | Quick Absorbing, Moisturizing & Non-Greasy (1 Pack)",B0D612K78P,,3.9,306,https://www.amazon.com/Dermeleve-Neuropathic-Sebborheic-Dermatitis-Moisturizing/dp/B0D612K78P/,https://m.media-amazon.com/images/I/61T17a4jabL._AC_UL320_.jpg
Natural & Soothing Eczema Cream - Hydrating & Nourishing Psoriasis Cream with Sea Moss & Colloidal Oatmeal - Quick Absorbing Anti Itch for Dry Sensitive Skin (4oz),B0CKM188GX,,4.0,1000,https://www.amazon.com/Ocean-Healed-My-Eczema-Soothing/dp/B0CKM188GX/,https://m.media-amazon.com/images/I/714OzRsdY3L._AC_UL320_.jpg
"Psoriasis Nail Oil Care from Indigo Natural Herbs. Toenails, Fingernails, Skin Care. Relief of Chapping, Cracking, Roughness, Redness, Dryness, Fungus. Repairs and Strengthens Nails. (15 ml)",B01BH1WZXU,$17.97,3.9,234,https://www.amazon.com/Indigo-Natural-Fingernails-Treatment-Strengthens/dp/B01BH1WZXU/,https://m.media-amazon.com/images/I/814JleptmBL._AC_UL320_.jpg
Official Seller - Chinese Herbal Cream - Natural Relief for Skin Issues - Pack of 5,B0CPPJH4L1,$31.50,4.5,333,https://www.amazon.com/QICAOGANGMU-Official-Chinese-Herbal-Cream/dp/B0CPPJH4L1/,https://m.media-amazon.com/images/I/71RonR7FnhL._AC_UL320_.jpg
"Roycederm Psoriasis Shampoo, Seborrheic Dermatitis Shampoo, Folliculitis Shampoo, Dandruff Shampoo, Scalp Psoriasis & Seborrheic Dermatitis Treatment, Dry Itchy Scalp Treatment",B0BGMCLC4J,$16.98,4.3,2000,https://www.amazon.com/Roycederm-Seborrheic-Dermatitis-Psoriasis-Treatment/dp/B0BGMCLC4J/,https://m.media-amazon.com/images/I/71Wa0BprzKL._AC_UL320_.jpg
